#t0_Mstar=3.981072e+10 (N07Mbar=5.653661e+10) t0_sfr=1.780908e+00	1.00000000000000001988462483866e+30 t0_sfr=9.220171e-01
#tlb ,red_binl[i],Mstar[i],CSFH[i],phi[i],dMLdt[i],massloss_to_t0[i], Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi	1.00000000000000001988462483866e+30 Mstar_Noeske(tlb,Mbar_Noeske),phi_Noeske(tlb,Mbar_Noeske)FWHM=0.50:Ms,Cs,phi,FWHM=0.75:Ms,Cs,phi,FWHM=1.00:Ms,Cs,phi
9.535631e+09 1.608084 4.562202e+09	1.644972e+09 5.566741e+09
9.522532e+09 1.602295 4.665764e+09	1.663477e+09 5.650682e+09
9.509434e+09 1.596544 4.769879e+09	1.682832e+09 5.734977e+09
9.496335e+09 1.590825 4.874527e+09	1.703076e+09 5.819621e+09
9.483237e+09 1.585132 4.979690e+09	1.724248e+09 5.904605e+09
9.470139e+09 1.579463 5.085349e+09	1.746391e+09 5.989920e+09
9.457040e+09 1.573819 5.191485e+09	1.769549e+09 6.075559e+09
9.443942e+09 1.568207 5.298083e+09	1.793766e+09 6.161515e+09
9.430844e+09 1.562630 5.405126e+09	1.819090e+09 6.247782e+09
9.417745e+09 1.557078 5.512597e+09	1.845572e+09 6.334351e+09
9.404647e+09 1.551549 5.620479e+09	1.873264e+09 6.421215e+09
9.391548e+09 1.546045 5.728753e+09	1.902222e+09 6.508365e+09
9.378450e+09 1.540565 5.837406e+09	1.932503e+09 6.595795e+09
9.365352e+09 1.535125 5.946422e+09	1.964166e+09 6.683500e+09
9.352253e+09 1.529709 6.055787e+09	1.997274e+09 6.771472e+09
9.339155e+09 1.524315 6.165484e+09	2.031894e+09 6.859702e+09
9.326056e+09 1.518944 6.275497e+09	2.068094e+09 6.948184e+09
9.312958e+09 1.513596 6.385811e+09	2.105949e+09 7.036910e+09
9.299860e+09 1.508282 6.496415e+09	2.145529e+09 7.125876e+09
9.286761e+09 1.502996 6.607293e+09	2.186914e+09 7.215073e+09
9.273663e+09 1.497732 6.718432e+09	2.230185e+09 7.304495e+09
9.260564e+09 1.492490 6.829817e+09	2.275430e+09 7.394135e+09
9.247466e+09 1.487270 6.941434e+09	2.322737e+09 7.483986e+09
9.234368e+09 1.482075 7.053270e+09	2.372199e+09 7.574041e+09
9.221269e+09 1.476914 7.165315e+09	2.423910e+09 7.664295e+09
9.208171e+09 1.471775 7.277556e+09	2.477970e+09 7.754741e+09
9.195072e+09 1.466656 7.389978e+09	2.534485e+09 7.845373e+09
9.181974e+09 1.461559 7.502569e+09	2.593565e+09 7.936184e+09
9.168876e+09 1.456483 7.615318e+09	2.655324e+09 8.027167e+09
9.155777e+09 1.451438 7.728213e+09	2.719875e+09 8.118316e+09
9.142679e+09 1.446418 7.841245e+09	2.787338e+09 8.209627e+09
9.129580e+09 1.441419 7.954400e+09	2.857841e+09 8.301093e+09
9.116482e+09 1.436441 8.067668e+09	2.931514e+09 8.392707e+09
9.103384e+09 1.431482 8.181036e+09	3.008494e+09 8.484463e+09
9.090285e+09 1.426544 8.294495e+09	3.088921e+09 8.576355e+09
